2011-12-16 22:38:45 Debug: Notice (8): Undefined index: Criteria in [D:\Cesar\xampp\repositorium\app\controllers\tags_controller.php, line 48]
2011-12-17 01:51:40 Debug: Notice (8): Undefined variable: ajax in [D:\Cesar\xampp\repositorium\app\views\documents\upload.ctp, line 21]
2011-12-17 01:52:07 Debug: Notice (8): Undefined variable: ajax in [D:\Cesar\xampp\repositorium\app\views\documents\upload.ctp, line 21]
2011-12-17 02:21:00 Debug: Notice (8): Undefined property: View::$element in [D:\Cesar\xampp\repositorium\app\views\documents\upload.ctp, line 27]
2011-12-17 02:22:35 Debug: Notice (8): Trying to get property of non-object in [D:\Cesar\xampp\repositorium\app\views\documents\upload.ctp, line 27]
2011-12-17 03:59:58 Debug: Notice (8): Use of undefined constant content - assumed 'content' in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 66]
2011-12-17 03:59:58 Debug: Notice (8): Undefined index: content in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 66]
2011-12-17 04:00:20 Debug: Notice (8): Trying to get property of non-object in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 66]
2011-12-17 04:02:10 Debug: Notice (8): Undefined index: content in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 66]
2011-12-17 04:04:27 Debug: Notice (8): Undefined index: content in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 66]
2011-12-17 04:10:38 Debug: Notice (8): Undefined variable: q in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 65]
2011-12-17 04:10:38 Debug: Notice (8): Undefined variable: id in [D:\Cesar\xampp\repositorium\app\controllers\documents_controller.php, line 65]
2011-12-17 17:23:42 Notice: Notice (8): unserialize() [<a href='function.unserialize'>function.unserialize</a>]: Error at offset 89 of 7077 bytes in [/home/content/26/6686926/html/repositorium/cake/libs/cache/file.php, line 176]
2011-12-17 18:08:22 Notice: Notice (8): Undefined index:  Criteria in [/home/content/26/6686926/html/repositorium/app/controllers/tags_controller.php, line 48]
2011-12-17 18:11:18 Notice: Notice (8): Undefined index:  Criteria in [/home/content/26/6686926/html/repositorium/app/controllers/tags_controller.php, line 48]
2011-12-18 16:15:56 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2011-12-18 16:17:19 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2011-12-18 18:00:40 Notice: Notice (8): Undefined index:  Criteria in [/home/content/26/6686926/html/repositorium/app/controllers/tags_controller.php, line 80]
2011-12-18 18:01:15 Notice: Notice (8): Undefined index:  Criteria in [/home/content/26/6686926/html/repositorium/app/controllers/tags_controller.php, line 80]
2011-12-18 18:48:45 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2011-12-18 18:48:56 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2011-12-18 18:49:03 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2011-12-18 18:49:14 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2011-12-18 18:49:23 Notice: Notice (8): Undefined index:  nombre_autor in [/home/content/26/6686926/html/repositorium/app/views/admin_documentos/listar.ctp, line 236]
2012-01-09 00:27:25 Debug: Notice (8): Undefined index: Criteria in [D:\Cesar\xampp\repositorium\app\controllers\tags_controller.php, line 78]
2012-01-09 00:27:25 Debug: Notice (8): Undefined index: Criteria in [D:\Cesar\xampp\repositorium\app\controllers\tags_controller.php, line 79]
2012-01-09 00:35:20 Debug: Notice (8): Undefined index: Criteria in [D:\Cesar\xampp\repositorium\app\controllers\tags_controller.php, line 85]
2012-01-09 13:48:24 Debug: Notice (8): Undefined variable: 1 in [C:\xampp\repositorium\app\controllers\documents_controller.php, line 260]
2012-01-09 14:13:41 Debug: Notice (8): Use of undefined constant docs - assumed 'docs' in [C:\xampp\repositorium\app\models\attachfile.php, line 28]
2012-01-09 14:30:19 Debug: Notice (8): Undefined variable: count in [C:\xampp\repositorium\app\models\attachfile.php, line 49]
2012-01-09 14:39:56 Debug: Notice (8): Undefined variable: db in [C:\xampp\repositorium\app\views\admin_documentos\listar_warneds.ctp, line 76]
2012-01-09 14:39:57 Debug: Notice (8): Undefined offset: 90 in [C:\xampp\repositorium\app\views\admin_documentos\listar_warneds.ctp, line 380]
2012-01-09 14:40:29 Debug: Notice (8): Undefined variable: db in [C:\xampp\repositorium\app\views\admin_documentos\listar_warneds.ctp, line 76]
2012-01-09 14:40:31 Debug: Notice (8): Undefined variable: db in [C:\xampp\repositorium\app\views\admin_documentos\listar_warneds.ctp, line 76]
